partido_id,mundial,fase,grupo,jornada,fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,marcador,local_es_anfitrion,visitante_es_anfitrion,fuente,goles_totales,diferencia_goles,resultado_local
M-2022-01,2022,Fase de grupos,A,1,2022-11-20,Qatar,Ecuador,0,2,0-2,True,False,https://github.com/jfjelstul/worldcup,2,-2,Pierde
M-2022-02,2022,Fase de grupos,B,1,2022-11-21,England,Iran,6,2,6-2,False,False,https://github.com/jfjelstul/worldcup,8,4,Gana
M-2022-03,2022,Fase de grupos,A,1,2022-11-21,Senegal,Netherlands,0,2,0-2,False,False,https://github.com/jfjelstul/worldcup,2,-2,Pierde
M-2022-04,2022,Fase de grupos,B,1,2022-11-21,United States,Wales,1,1,1-1,False,False,https://github.com/jfjelstul/worldcup,2,0,Empata
M-2022-05,2022,Fase de grupos,C,1,2022-11-22,Argentina,Saudi Arabia,1,2,1-2,False,False,https://github.com/jfjelstul/worldcup,3,-1,Pierde
M-2022-06,2022,Fase de grupos,D,1,2022-11-22,Denmark,Tunisia,0,0,0-0,False,False,https://github.com/jfjelstul/worldcup,0,0,Empata
M-2022-07,2022,Fase de grupos,C,1,2022-11-22,Mexico,Poland,0,0,0-0,False,False,https://github.com/jfjelstul/worldcup,0,0,Empata
M-2022-08,2022,Fase de grupos,D,1,2022-11-22,France,Australia,4,1,4-1,False,False,https://github.com/jfjelstul/worldcup,5,3,Gana
M-2022-09,2022,Fase de grupos,F,1,2022-11-23,Morocco,Croatia,0,0,0-0,False,False,https://github.com/jfjelstul/worldcup,0,0,Empata
M-2022-10,2022,Fase de grupos,E,1,2022-11-23,Germany,Japan,1,2,1-2,False,False,https://github.com/jfjelstul/worldcup,3,-1,Pierde
M-2022-11,2022,Fase de grupos,E,1,2022-11-23,Spain,Costa Rica,7,0,7-0,False,False,https://github.com/jfjelstul/worldcup,7,7,Gana
M-2022-12,2022,Fase de grupos,F,1,2022-11-23,Belgium,Canada,1,0,1-0,False,False,https://github.com/jfjelstul/worldcup,1,1,Gana
M-2022-13,2022,Fase de grupos,G,1,2022-11-24,Switzerland,Cameroon,1,0,1-0,False,False,https://github.com/jfjelstul/worldcup,1,1,Gana
M-2022-14,2022,Fase de grupos,H,1,2022-11-24,Uruguay,South Korea,0,0,0-0,False,False,https://github.com/jfjelstul/worldcup,0,0,Empata
M-2022-15,2022,Fase de grupos,H,1,2022-11-24,Portugal,Ghana,3,2,3-2,False,False,https://github.com/jfjelstul/worldcup,5,1,Gana
M-2022-16,2022,Fase de grupos,G,1,2022-11-24,Brazil,Serbia,2,0,2-0,False,False,https://github.com/jfjelstul/worldcup,2,2,Gana
M-2022-17,2022,Fase de grupos,B,2,2022-11-25,Wales,Iran,0,2,0-2,False,False,https://github.com/jfjelstul/worldcup,2,-2,Pierde
M-2022-18,2022,Fase de grupos,A,2,2022-11-25,Qatar,Senegal,1,3,1-3,True,False,https://github.com/jfjelstul/worldcup,4,-2,Pierde
M-2022-19,2022,Fase de grupos,A,2,2022-11-25,Netherlands,Ecuador,1,1,1-1,False,False,https://github.com/jfjelstul/worldcup,2,0,Empata
M-2022-20,2022,Fase de grupos,B,2,2022-11-25,England,United States,0,0,0-0,False,False,https://github.com/jfjelstul/worldcup,0,0,Empata
M-2022-21,2022,Fase de grupos,D,2,2022-11-26,Tunisia,Australia,0,1,0-1,False,False,https://github.com/jfjelstul/worldcup,1,-1,Pierde
M-2022-22,2022,Fase de grupos,C,2,2022-11-26,Poland,Saudi Arabia,2,0,2-0,False,False,https://github.com/jfjelstul/worldcup,2,2,Gana
M-2022-23,2022,Fase de grupos,D,2,2022-11-26,France,Denmark,2,1,2-1,False,False,https://github.com/jfjelstul/worldcup,3,1,Gana
M-2022-24,2022,Fase de grupos,C,2,2022-11-26,Argentina,Mexico,2,0,2-0,False,False,https://github.com/jfjelstul/worldcup,2,2,Gana
M-2022-25,2022,Fase de grupos,E,2,2022-11-27,Japan,Costa Rica,0,1,0-1,False,False,https://github.com/jfjelstul/worldcup,1,-1,Pierde
M-2022-26,2022,Fase de grupos,F,2,2022-11-27,Belgium,Morocco,0,2,0-2,False,False,https://github.com/jfjelstul/worldcup,2,-2,Pierde
M-2022-27,2022,Fase de grupos,F,2,2022-11-27,Croatia,Canada,4,1,4-1,False,False,https://github.com/jfjelstul/worldcup,5,3,Gana
M-2022-28,2022,Fase de grupos,E,2,2022-11-27,Spain,Germany,1,1,1-1,False,False,https://github.com/jfjelstul/worldcup,2,0,Empata
M-2022-29,2022,Fase de grupos,G,2,2022-11-28,Cameroon,Serbia,3,3,3-3,False,False,https://github.com/jfjelstul/worldcup,6,0,Empata
M-2022-30,2022,Fase de grupos,H,2,2022-11-28,South Korea,Ghana,2,3,2-3,False,False,https://github.com/jfjelstul/worldcup,5,-1,Pierde
M-2022-31,2022,Fase de grupos,G,2,,Brazil,Switzerland,1,0,1-0,False,False,https://github.com/jfjelstul/worldcup,1,1,Gana
M-2022-32,2022,Fase de grupos,H,2,2022-11-28,Portugal,Uruguay,2,0,2-0,False,False,https://github.com/jfjelstul/worldcup,2,2,Gana
M-2022-33,2022,Fase de grupos,A,3,2022-11-29,Ecuador,Senegal,1,2,1-2,False,False,https://github.com/jfjelstul/worldcup,3,-1,Pierde
M-2022-34,2022,Fase de grupos,A,3,2022-11-29,Netherlands,Qatar,2,0,2-0,False,False,https://github.com/jfjelstul/worldcup,2,2,Gana
M-2022-35,2022,Fase de grupos,B,3,2022-11-29,Iran,United States,0,1,0-1,False,False,https://github.com/jfjelstul/worldcup,1,-1,Pierde
M-2022-36,2022,Fase de grupos,B,3,2022-11-29,Wales,England,0,3,0-3,False,False,https://github.com/jfjelstul/worldcup,3,-3,Pierde
M-2022-37,2022,Fase de grupos,D,3,2022-11-30,Australia,Denmark,1,0,1-0,False,False,https://github.com/jfjelstul/worldcup,1,1,Gana
M-2022-38,2022,Fase de grupos,D,3,2022-11-30,Tunisia,France,1,0,1-0,False,False,https://github.com/jfjelstul/worldcup,1,1,Gana
M-2022-39,2022,Fase de grupos,C,3,2022-11-30,Poland,Argentina,0,2,0-2,False,False,https://github.com/jfjelstul/worldcup,2,-2,Pierde
