partido_id,mundial,fase,grupo,jornada,fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,marcador,local_es_anfitrion,visitante_es_anfitrion,fuente,goles_totales,diferencia_goles,resultado_local
M-2026-001,2026,Fase de grupos,A,1,2026-06-11,Mexico,South Africa,2,0,2-0,True,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A,2,2,Gana
M-2026-002,2026,Fase de grupos,A,1,2026-06-12,South Korea,Czechia,2,1,2-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A,3,1,Gana
M-2026-007,2026,Fase de grupos,B,1,2026-06-12,Canada,Bosnia and Herzegovina,1,1,1-1,True,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B,2,0,Empata
M-2026-008,2026,Fase de grupos,B,1,2026-06-13,Qatar,Switzerland,1,1,1-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B,2,0,Empata
M-2026-013,2026,Fase de grupos,C,1,2026-06-13,Brazil,Morocco,1,1,1-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C,2,0,Empata
M-2026-014,2026,Fase de grupos,C,1,2026-06-13,Haiti,Scotland,0,1,0-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C,1,-1,Pierde
M-2026-019,2026,Fase de grupos,D,1,2026-06-13,United States,Paraguay,4,1,4-1,True,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D,5,3,Gana
M-2026-020,2026,Fase de grupos,D,1,2026-06-14,Australia,Turkey,2,0,2-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D,2,2,Gana
M-2026-025,2026,Fase de grupos,E,1,2026-06-14,Germany,Curacao,7,1,7-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E,8,6,Gana
M-2026-026,2026,Fase de grupos,E,1,2026-06-14,Ivory Coast,Ecuador,1,0,1-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E,1,1,Gana
M-2026-031,2026,Fase de grupos,F,1,2026-06-14,Netherlands,Japan,2,2,2-2,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F,4,0,Empata
M-2026-032,2026,Fase de grupos,F,1,2026-06-15,Sweden,Tunisia,5,1,5-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F,6,4,Gana
M-2026-037,2026,Fase de grupos,G,1,2026-06-15,Belgium,Egypt,1,1,1-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G,2,0,Empata
M-2026-038,2026,Fase de grupos,G,1,2026-06-15,Iran,New Zealand,2,2,2-2,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G,4,0,Empata
M-2026-043,2026,Fase de grupos,H,1,2026-06-15,Spain,Cape Verde,0,0,0-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H,0,0,Empata
M-2026-044,2026,Fase de grupos,H,1,2026-06-15,Saudi Arabia,Uruguay,1,1,1-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H,2,0,Empata
M-2026-049,2026,Fase de grupos,I,1,2026-06-16,France,Senegal,3,1,3-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I,4,2,Gana
M-2026-050,2026,Fase de grupos,I,1,2026-06-16,Iraq,Norway,1,4,1-4,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I,5,-3,Pierde
M-2026-055,2026,Fase de grupos,J,1,2026-06-16,Argentina,Algeria,3,0,3-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J,3,3,Gana
M-2026-056,2026,Fase de grupos,J,1,2026-06-17,Austria,Jordan,3,1,3-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J,4,2,Gana
M-2026-061,2026,Fase de grupos,K,1,2026-06-17,Portugal,DR Congo,1,1,1-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K,2,0,Empata
M-2026-062,2026,Fase de grupos,K,1,2026-06-17,Uzbekistan,Colombia,1,3,1-3,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K,4,-2,Pierde
M-2026-067,2026,Fase de grupos,L,1,2026-06-17,England,Croatia,4,2,4-2,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L,6,2,Gana
M-2026-003,2026,Fase de grupos,A,2,2026-06-18,Czechia,South Africa,1,1,1-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A,2,0,Empata
M-2026-004,2026,Fase de grupos,A,2,2026-06-18,Mexico,South Korea,1,0,1-0,True,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A,1,1,Gana
M-2026-009,2026,Fase de grupos,B,2,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,4-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B,5,3,Gana
M-2026-010,2026,Fase de grupos,B,2,2026-06-18,Canada,Qatar,6,0,6-0,True,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B,6,6,Gana
M-2026-068,2026,Fase de grupos,L,1,2026-06-18,Ghana,Panama,1,0,1-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L,1,1,Gana
M-2026-015,2026,Fase de grupos,C,2,2026-06-19,Scotland,Morocco,0,1,0-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C,1,-1,Pierde
M-2026-016,2026,Fase de grupos,C,2,2026-06-19,Brazil,Haiti,3,0,3-0,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C,3,3,Gana
M-2026-021,2026,Fase de grupos,D,2,2026-06-19,United States,Australia,2,0,2-0,True,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D,2,2,Gana
M-2026-022,2026,Fase de grupos,D,2,2026-06-20,Turkey,Paraguay,0,1,0-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D,1,-1,Pierde
M-2026-027,2026,Fase de grupos,E,2,2026-06-20,Germany,Ivory Coast,2,1,2-1,False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E,3,1,Gana
